Lifts; 1) very good take-off and landing
Lifts; 2) good speed, flow and Ice coverage
Lifts; 3) effortless throughout (including rotation and change of position)
Lifts; 4) very good air positions
Lifts; 5) smooth footwork of man
Lifts; 6) element matches the music
Twist Lifts; 1) good height of woman in air position
Twist Lifts; 2) clean catch
Twist Lifts; 3) effortless throughout
Twist Lifts; 4) good take-off and exit
Twist Lifts; 5) very good speed and flow
Twist Lifts; 6) element matches the music
Jump Elements; 1) very good unison
Jump Elements; 2) very good height and very good length (of all jumps in a combo or sequence)
Jump Elements; 3) effortless throughout (including rhythm in jump combo or sequence)
Jump Elements; 4) steps before the jump, unexpected or creative entry
Jump Elements; 5) good take off and landing
Jump Elements; 6) element matches the music
Throw Jumps; 1) very good height and very good distance
Throw Jumps; 2) good speed, flow and control on release and landing
Throw Jumps; 3) effortless throughout
Throw Jumps; 4) difficult, unexpected or creative entry/exit by woman or man
Throw Jumps; 5) very good air position
Throw Jumps; 6) element matches the music
Solo Spins; 1) very good unison
Solo Spins; 2) good speed and/or acceleration during spin
Solo Spins; 3) effortless throughout
Solo Spins; 4) good controlled, clear position(s) (inc. height and air/landing position in flying spin)
Solo Spins; 5) creativity
Solo Spins; 6) element matches the music
Pair Spins; 1) good control throughout by both partners
Pair Spins; 2) good speed and/or acceleration during spin
Pair Spins; 3) effortless throughout
Pair Spins; 4) good controlled, clear position(s) (inc. height and air/landing position in flying spin)
Pair Spins; 5) creativity
Pair Spins; 6) element matches the music
Death Spirals; 1) very good positions of both partners
Death Spirals; 2) good flow and speed throughout (including entry and exit)
Death Spirals; 3) effortless throughout
Death Spirals; 4) good controlled transition into required positions and on exit
Death Spirals; 5) good/continuous edges demonstrated by man and woman
Death Spirals; 6) element matches the music
Step Sequences; 1) deep edges, clean steps and turns, control of the whole body
Step Sequences; 2) element matches the music
Step Sequences; 3) effortless throughout with good energy, flow and execution
Step Sequences; 4) good unison and distance between partners
Step Sequences; 5) creativity of body movements including variations of free foot
Step Sequences; 6) good ice coverage or interesting pattern
Choreo Sequences; 1) element matches the music and reflects the concept/character of the program
Choreo Sequences; 2) creativity
Choreo Sequences; 3) effortless throughout with good energy, flow and execution
Choreo Sequences; 4) varied directions and pattern
Choreo Sequences; 5) oneness
Choreo Sequences; 6) excellent commitment and control of the whole body