Jump Elements; 1) very good height and very good length (of all jumps in a combo or sequence)
Jump Elements; 2) good take-off and landing
Jump Elements; 3) effortless throughout (including rhythm in jump combo or sequence)
Jump Elements; 4) steps before the jump, unexpected or creative entry
Jump Elements; 5) very good body position from take-off to landing
Jump Elements; 6) element matches the music
Spins; 1) good speed and/or acceleration during spin
Spins; 2) good controlled, clear position(s) (inc. height and air/landing position in flying spin)
Spins; 3) effortless throughout
Spins; 4) maintaining a centered spin
Spins; 5) creativity
Spins; 6) element matches the music
Step Sequences; 1) deep edges, clean steps and turns, control of the whole body
Step Sequences; 2) element matches the music
Step Sequences; 3) effortless throughout with good energy, flow and execution
Step Sequences; 4) creativity of body movements including variations of free foot
Step Sequences; 5) good ice coverage or interesting pattern
Step Sequences; 6) good acceleration and deceleration
Choreographic Sequences; 1) element matches the music and reflects the concept/character of the program
Choreographic Sequences; 2) creativity
Choreographic Sequences; 3) effortless throughout with good energy, flow and execution
Choreographic Sequences; 4) varied directions and pattern
Choreographic Sequences; 5) good clarity and precision
Choreographic Sequences; 6) excellent commitment and control of the whole body